name,fdc_id,calories_kcal,protein_g,carb_g,fat_g
CHICKEN BREAST,2187885,,20.42,1.06,8.1
CHICKEN BREAST,2092152,,14.29,3.57,8.93
SALMON,2016166,,15.23,2.65,7.95
SALMON,1028841,,19.01,0.0,15.49
"Beef, top sirloin steak, raw",2727574,140.144,21.975,0.218,5.708
"Beef, steak, sirloin, lean and fat eaten",2705833,,26.2,0.0,16.6
EGG,2575290,,6.41,57.69,28.85
EGG,2171141,,0.0,90.0,0.0
"Eggs, Grade A, Large, egg white",747997,,10.7,2.36,0.0
Egg white sandwich,2707334,,9.41,24.1,3.62
TOFU,2294522,,,,
TOFU,1910113,,9.41,1.18,5.88
"Almond milk, unsweetened",2705409,,0.55,0.34,1.22
"Soy milk, unsweetened",2705405,,3.55,1.29,2.12
OATS,2020713,,12.5,67.5,6.25
OATS,2014676,,12.5,67.5,6.25
BROWN RICE,2286928,,8.89,75.56,3.33
BROWN RICE,360294,,9.3,76.74,2.33
SWEET POTATO,477475,,5.45,16.35,1.28
SWEET POTATO,1946920,,6.25,32.81,12.5
BANANA,2012128,,12.5,40.62,6.25
BANANA,2011468,,0.0,78.57,1.07
BROCCOLI,2549992,,2.35,4.71,0.0
BROCCOLI,1935906,,3.53,4.71,0.0
CAULIFLOWER,2409200,,2.35,4.71,0.0
CAULIFLOWER,2409835,,12.5,50.0,0.0
Avocado dressing,2710208,,1.9,7.36,43.3
"Avocado, raw",2709223,,2.0,8.53,14.7
TUNA,2068771,,5.66,10.38,3.77
"Fish, tuna salad",175160,,16.04,9.41,9.26
"Duck, wild, breast, meat only, raw",174469,,19.85,0.0,4.25
Duck sauce,2710298,,0.36,60.7,0.13
Chia seeds,2707590,,16.5,42.1,30.7
CHIA SEEDS,2124841,,17.86,42.86,32.14
GREEK YOGURT,2035482,,3.33,70.0,20.0
GREEK YOGURT,373595,,4.85,12.33,7.05
LOW FAT CHEESE,2396789,,10.0,33.85,2.31
"Cheese, cottage, low fat",2705756,,11.0,4.31,2.3
"Pork, chop, lean and fat eaten",2705867,,27.0,0.01,9.17
"Pork, chop, lean only eaten",2705868,,28.0,0.0,5.94
MACKEREL,2068438,,25.0,0.0,5.36
MACKEREL,2678581,,21.43,0.0,5.36
"Peanuts, boiled",2707513,,13.5,21.3,22.0
"Chicken, feet, boiled",171119,,19.4,0.2,14.6
"Fish, cod, fried",2706244,,13.5,11.7,12.5
"Fish, cod, grilled",2706242,,19.4,0.0,2.79
GROUND TURKEY,2286356,,19.64,0.0,7.14
GROUND TURKEY,1941808,,19.47,0.0,7.08
PUMPKIN,2128804,,0.8,8.8,0.0
PUMPKIN,2434324,,0.83,8.33,0.0
ZUCCHINI,2428955,,1.05,4.21,0.0
"Bread, zucchini",2707851,,5.05,42.6,13.1
SPINACH,2617829,,2.35,3.53,0.0
SPINACH,1905313,,3.53,3.53,0.0
Cucumber salad made with cucumber and vinegar,2709821,,0.5,6.79,0.13
"Cucumber, raw",2709784,,0.62,2.95,0.18
APPLE,454004,,0.0,14.29,0.65
APPLE,2117388,,0.0,11.67,0.0
ORANGE,1864680,,4.76,90.48,0.0
"Orange, raw",2709171,,0.92,11.8,0.14
Peanut butter,2707537,,22.2,22.3,51.4
PEANUT BUTTER,2031766,,20.0,20.0,50.0
